name,ticker,ca,amount,price,total_value,anti_whale_modifiable,buy_tax,can_take_back_ownership,cannot_buy,cannot_sell_all,creator_address,creator_balance,creator_percent,external_call,fake_token,hidden_owner,holder_count,honeypot_with_same_creator,is_airdrop_scam,is_anti_whale,is_blacklisted,is_honeypot,is_in_dex,is_mintable,is_open_source,is_proxy,is_true_token,is_whitelisted,lp_holder_count,lp_total_supply,note,other_potential_risks,owner_address,owner_balance,owner_change_balance,owner_percent,personal_slippage_modifiable,selfdestruct,sell_tax,slippage_modifiable,token_name,token_symbol,total_supply,trading_cooldown,transfer_pausable,trust_list
Froge,FROGE,0xcAb254f1a32343f11aB41fbdE90eCB410cDe348a,500000000.0,0.0,0.95,False,0.0,False,False,False,0x34919f7dd781e5cdbda923392dbc627add997a8f,4340422254010.678,0.006287,False,,False,5349.0,False,,False,False,False,True,False,True,False,,False,2.0,97634229.78577308,,,,0.0,0.0,0.0,False,False,0.0001,False,Froge,FROGE,690420000000000.0,False,False,False
Shrub,SHRUB,0x3b991130eaE3CcA364406D718DA22FA1C3E7C256,178.84994784,0.0051,0.91,False,0.0,False,False,False,0x0cc3183e620ef294bfb5ec21b7dbdf7b18dd5551,435888.71612825146,0.000436,False,,False,12868.0,False,,False,True,False,True,False,True,False,,True,4.0,30828.835757318302,,,0x0000000000000000000000000000000000000000,0.0,0.0,0.0,False,False,0.0,True,Shrub,SHRUB,1000000000.0,False,False,False
ApeCoin,APE,0x4d224452801aced8b2f0aebe155379bb5d594381,1.0,0.5762,0.58,False,0.0,False,False,False,0x295d587aa3ca6e57e227a4430ab7c4c00989a195,1.11452,0.0,False,,False,176865.0,False,,False,False,False,True,False,True,False,,False,10.0,30760.513989142855,,,,0.0,0.0,0.0,False,False,0.0,False,ApeCoin,APE,1000000000.0,False,False,False
Wojak Coin,WOJAK,0x5026F006B85729a8b14553FAE6af249aD16c9aaB,1337.0,0.0003,0.39,False,0.0,False,False,False,0x8591f46a5e9b081289a3cfc4b5381f3c6e88389b,0.0,0.0,False,,False,22241.0,True,,False,False,False,True,False,True,False,,False,3.0,521685.81304425607,,,,0.0,0.0,0.0,False,False,0.0,False,Wojak Coin,WOJAK,69420000000.0,False,False,False
Gorples Coin,GORPLE,0xfF33A6b3dC0127862eEdD3978609404b22298A54,1099.89,0.0002,0.27,False,0.01,False,False,False,0x3558b57cb6e2c994d3878b33c0931fd8b821ee84,3063.0402728481854,8.3e-05,False,,False,505.0,False,,False,False,False,True,False,True,True,,False,3.0,8237.308821896619,,,,,,,False,False,0.01,False,Gorples Coin,GORPLE,36926294.32680311,False,False,False
Aviator,AVI,0xd2bdaaf2b9cc6981fd273dcb7c04023bfbe0a7fe,420.69,0.0005,0.19,False,0.0,False,False,False,0x1cfd452eb369a7b9475b07d1457dd1d0500fd788,73220.30964733411,7e-06,False,,False,2655.0,False,,False,False,False,True,False,True,False,,False,2.0,181334.47318310576,,,0x0000000000000000000000000000000000000000,0.0,0.0,0.0,False,False,0.0,False,Aviator,AVI,10000000000.0,False,False,False
FUMoney,FU,0x6C05b8141cEfb64502B6DfcAAE7C77BAbBaC18FA,69.0,0.0024,0.17,False,0.0001,False,False,False,0x501571f59d3180e6f1d91442c8aabc62890ba89e,0.0,0.0,False,,False,1032.0,False,,False,False,False,True,False,True,False,,False,1.0,1175033.3964220367,,,,0.0,0.0,0.0,False,False,0.0,False,FUMoney,FU,621000000.0,False,False,False
Alpha Gardeners,AG,0xcc8e21f599995d1c8367054841b8af5024ddf01b,6969.0,0.0,0.11,True,0.05,False,False,False,0x3200bfdafe1988f343f4fd379b7797a19ae49c1b,159229070.03440902,0.019904,False,,False,849.0,False,,True,True,False,True,False,True,False,,True,3.0,36747.053546903924,,,0x3200bfdafe1988f343f4fd379b7797a19ae49c1b,159229070.03440902,0.0,0.019904,False,False,0.0499,True,Alpha Gardeners,AG,8000000000.0,False,False,False
ChainGPT,CGPT,0x25931894a86d47441213199621f1f2994e1c39aa,1.0,0.1081,0.11,False,0.0001,False,False,False,0xfe83475880d3592833249baaacfec5ed51e29d82,0.0,0.0,False,,False,6854.0,False,,False,False,False,True,False,True,True,,False,2.0,1.21147303845723,,,,,,,False,False,0.0,False,ChainGPT,CGPT,48000794.72383512,False,False,False
Ethena,ENA,0x57e114B691Db790C35207b2e685D4A43181e6061,0.22110134,0.4247,0.09,False,0.0,False,False,False,0x32a12e3f8b1e1f521bb4fbc47ca473d10d0477de,1.0,0.0,False,,False,61530.0,False,,False,False,False,True,True,True,False,,False,10.0,616562.2241599783,,,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,0.0,0.0,0.0,False,False,0.0,False,ENA,ENA,15000000000.0,False,False,False
